nohup: ignoring input
Using GPU (CUDA)
Step 14000: loss = 2.1483, lr = 0.0003, speed = 92328 tok/s
Step 14000: validation loss = 1.8980
Step 14100: loss = 1.8513, lr = 0.0003, speed = 91908 tok/s
Step 14200: loss = 2.0808, lr = 0.0003, speed = 91956 tok/s
Step 14300: loss = 1.9944, lr = 0.0003, speed = 92004 tok/s
Step 14400: loss = 2.0022, lr = 0.0003, speed = 92051 tok/s
Step 14500: loss = 1.9796, lr = 0.0003, speed = 92097 tok/s
Step 14600: loss = 1.9856, lr = 0.0003, speed = 92143 tok/s
Step 14700: loss = 2.0034, lr = 0.0003, speed = 92189 tok/s
Step 14800: loss = 1.9692, lr = 0.0003, speed = 92234 tok/s
Step 14900: loss = 2.0340, lr = 0.0003, speed = 92278 tok/s
Step 15000: loss = 1.9768, lr = 0.0003, speed = 92322 tok/s
Step 15000: validation loss = 1.8781
Step 15100: loss = 1.8471, lr = 0.0003, speed = 91928 tok/s
Step 15200: loss = 1.9828, lr = 0.0003, speed = 91972 tok/s
Step 15300: loss = 1.9441, lr = 0.0003, speed = 92014 tok/s
Step 15400: loss = 2.1429, lr = 0.0003, speed = 92057 tok/s
Step 15500: loss = 1.9910, lr = 0.0003, speed = 92099 tok/s
Step 15600: loss = 1.9880, lr = 0.0003, speed = 92140 tok/s
Step 15700: loss = 1.9803, lr = 0.0003, speed = 92181 tok/s
Step 15800: loss = 2.0302, lr = 0.0003, speed = 92220 tok/s
Step 15900: loss = 1.9261, lr = 0.0003, speed = 92258 tok/s
Step 16000: loss = 1.9618, lr = 0.0003, speed = 92297 tok/s
Step 16000: validation loss = 1.8391
Step 16100: loss = 1.9512, lr = 0.0003, speed = 91927 tok/s
Step 16200: loss = 1.7942, lr = 0.0003, speed = 91967 tok/s
Step 16300: loss = 2.0317, lr = 0.0003, speed = 92006 tok/s
Step 16400: loss = 1.8669, lr = 0.0003, speed = 92045 tok/s
Step 16500: loss = 1.9252, lr = 0.0003, speed = 92083 tok/s
Step 16600: loss = 2.0131, lr = 0.0003, speed = 92122 tok/s
Step 16700: loss = 2.0337, lr = 0.0003, speed = 92160 tok/s
Step 16800: loss = 1.9897, lr = 0.0003, speed = 92197 tok/s
Step 16900: loss = 1.9356, lr = 0.0003, speed = 92235 tok/s
Step 17000: loss = 1.9354, lr = 0.0003, speed = 92271 tok/s
Step 17000: validation loss = 1.8308
Step 17100: loss = 1.9613, lr = 0.0003, speed = 91922 tok/s
Step 17200: loss = 1.8570, lr = 0.0003, speed = 91959 tok/s
Step 17300: loss = 1.8323, lr = 0.0003, speed = 91996 tok/s
Step 17400: loss = 1.8432, lr = 0.0003, speed = 92032 tok/s
Step 17500: loss = 1.8428, lr = 0.0003, speed = 92068 tok/s
Step 17600: loss = 2.0130, lr = 0.0003, speed = 92104 tok/s
Step 17700: loss = 2.0170, lr = 0.0003, speed = 92139 tok/s
Step 17800: loss = 2.0609, lr = 0.0003, speed = 92175 tok/s
Step 17900: loss = 2.0002, lr = 0.0003, speed = 92211 tok/s
Step 18000: loss = 1.9679, lr = 0.0003, speed = 92246 tok/s
Step 18000: validation loss = 1.8147
Step 18100: loss = 1.8789, lr = 0.0003, speed = 91921 tok/s
Step 18200: loss = 2.0607, lr = 0.0003, speed = 91957 tok/s
Step 18300: loss = 1.8813, lr = 0.0003, speed = 91992 tok/s
Step 18400: loss = 1.9611, lr = 0.0003, speed = 92028 tok/s
